a_walk,acor_1.rho,acor_2.rho,acor_3.rho,acor_1.phi,acor_2.phi,acor_3.phi,dos.min,dos.max,dos.mean,dos.std,fdc_cor,fn_cor,n_deg.min,n_deg.max,n_deg.mean,n_deg.std,n_walk.min,n_walk.max,n_walk.mean,n_walk.std
1.37,-0.0311829,0.392421,-0.11498,-0.0311829,0.39183,-0.112718,0.0,672039000.0,180882000.0,290318000.0,-0.174509,-0.371254,0.0,29.0,2.96,8.18012,0.0,0.0,0.0,0.0
4.0475,-0.0568274,0.443315,0.0733866,-0.0568274,0.441512,0.14025,0.0,65.0,7.9325,3.48647,-0.52923,0.119556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.13,-0.0109797,0.494443,-0.00923876,-0.0109797,0.494382,-0.00141056,0.0,81.0,12.77,17.5507,-0.398658,-0.294174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.778125,-0.122786,0.614887,-0.123661,-0.122786,0.608992,-0.0312497,0.0,1887020000.0,218192000.0,603420000.0,-0.00303033,-0.230608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.735,-0.675584,0.848401,-0.677746,-0.675584,0.721113,-0.117757,0.0,913732000.0,148868000.0,336999000.0,0.303598,-0.375747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.366,0.198028,0.44577,0.188962,0.198028,0.423149,0.0687735,0.0,3805550000.0,493339000.0,1247070000.0,-0.251605,-0.0556902,0.0,29.0,2.83,7.97428,0.0,0.0,0.0,0.0
3.90125,-0.116733,0.19507,-0.0225083,-0.116733,0.18395,0.0184123,0.0,65.0,8.0,3.55352,-0.510434,0.382029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.29,-0.278394,0.262839,-0.135727,-0.278394,0.200906,-0.0240879,0.0,22005.0,119.555,1551.45,-0.371772,-0.0548289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74375,-0.11874,0.802472,-0.1196,-0.11874,0.799647,-0.0156369,0.0,290489000.0,34500300.0,93969600.0,-0.0279577,-0.177392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,-0.666661,0.89034,-0.668757,-0.666661,0.802614,-0.0835985,0.0,3582910000.0,556024000.0,1296400000.0,0.257083,-0.323213,0.0,29.0,0.2225,1.9629,0.0,28.0,16.9275,4.57602
